SCHOOL_TITLE,COFFER_COURSE_ID,COFFERED_WITH,SECTION,CREDIT_HOUR,CAPACITY,ENROLLED,ROOM_ID,ROOM_CAPACITY,BLOCKED,COURSE_NAME,FACULTY_FULL_NAME,STRAT_TIME,END_TIME,ST_MW
SETS,CSE203,"CSE203,CSC203,CEN203",1,3,37,33,CSCLab3-S,35,-1,Data Structure,4397-MR Mohammad Motiur Rahman,09:30,11:00,ST
SETS,CSE203,"CSE203,CSC203,CEN203",2,3,37,34,CSCLab3-S,35,-1,Data Structure,4453-MS Moumita Asad,12:30,14:00,ST
SETS,CSE203,"CSE203,CSC203,CEN203",3,3,37,37,CSCLab3-S,35,-1,Data Structure,4453-MS Moumita Asad,15:30,17:00,MW
SETS,CSE203,"CSE203,CSC203,CEN203",4,3,37,29,CSCLab3-S,35,-1,Data Structure,4397-MR Mohammad Motiur Rahman,12:30,14:00,MW
SETS,CSE203,"CSE203,CSC203,CEN203",5,3,37,35,GPLab-S,50,-1,Data Structure,4449-MR Sheikh Abujar,11:00,12:30,MW
SETS,CSE203,"CSE203,CSC203,CEN203",6,3,37,37,CSCLab3-S,35,-1,Data Structure,4453-MS Moumita Asad,11:00,12:30,ST
SETS,CSE203L,"CSE203L,CSC203L,CEN203L",1,1,37,33,CSCLab3-S,35,0,Data Structure Lab,4397-MR Mohammad Motiur Rahman,11:00,12:30,S
SETS,CSE203L,"CSE203L,CSC203L,CEN203L",2,1,37,34,CSCLab3-S,35,0,Data Structure Lab,4453-MS Moumita Asad,11:00,12:30,T
SETS,CSE203L,"CSE203L,CSC203L,CEN203L",3,1,37,37,CSCLab3-S,35,0,Data Structure Lab,4453-MS Moumita Asad,17:00,18:30,M
SETS,CSE203L,"CSE203L,CSC203L,CEN203L",4,1,37,29,CSCLab3-S,35,0,Data Structure Lab,4397-MR Mohammad Motiur Rahman,11:00,12:30,W
SETS,CSE203L,"CSE203L,CSC203L,CEN203L",5,1,37,35,GPLab-S,50,0,Data Structure Lab,4449-MR Sheikh Abujar,09:30,11:00,W
SETS,CSE203L,"CSE203L,CSC203L,CEN203L",6,1,37,37,CSCLab3-S,35,0,Data Structure Lab,4453-MS Moumita Asad,09:30,11:00,S
SETS,CSE204,"CSE204,CEN204,CSC204",1,3,40,34,BC6013-S,50,-1,Digital Logic Design,4433-MR Hamidur Rahman,11:00,12:30,ST
SETS,CSE204,"CSE204,CEN204,CSC204",2,3,40,36,BC7025-S,50,-1,Digital Logic Design,4251-MR Md. Raihan Bin Rafique,12:30,14:00,ST
SETS,CSE204,"CSE204,CEN204,CSC204",3,3,35,0,C5005-S,40,B-0,Digital Logic Design,T001-00 TBA TBA,14:00,15:30,MW
SETS,CSE204,"CSE204,CEN204,CSC204",4,3,40,36,C4004-S,40,-1,Digital Logic Design,4433-MR Hamidur Rahman,14:00,15:30,MW
SETS,CSE204L,"CSE204L,CEN204L,CSC204L",1,1,40,34,CENLAB-S,45,0,Labwork based on CSE 204,4251-MR Md. Raihan Bin Rafique,09:30,11:00,T
SETS,CSE204L,"CSE204L,CEN204L,CSC204L",2,1,40,36,CENLAB-S,45,0,Labwork based on CSE 204,4251-MR Md. Raihan Bin Rafique,14:00,15:30,T
SETS,CSE204L,"CSE204L,CEN204L,CSC204L",3,1,30,0,CENLAB-S,45,B-0,Labwork based on CSE 204,T001-00 TBA TBA,12:30,14:00,W
SETS,CSE204L,"CSE204L,CEN204L,CSC204L",4,1,40,36,CENLAB-S,45,0,Labwork based on CSE 204,4251-MR Md. Raihan Bin Rafique,15:30,17:00,W
SETS,CSE210,"CSE210,CEN210",1,3,35,0,C2005-S,40,0,Electronics I,4273-MR Sarwar Shahidi,17:00,18:30,ST
SETS,CSE210,"CSE210,CEN210",2,3,40,36,BC7026-S,50,-1,Electronics I,4406-MR Mohammad Rejwan Uddin,09:30,11:00,ST
SETS,CSE210,"CSE210,CEN210",3,3,40,37,C4005-S,40,-1,Electronics I,4374-MR Wahidul Hasan,15:30,17:00,MW
SETS,CSE210L,"CSE210L,CEN210L",1,1,30,0,CENLAB-S,45,0,Labwork based on CSE 210,4273-MR Sarwar Shahidi,08:00,09:30,T
SETS,CSE210L,"CSE210L,CEN210L",2,1,45,43,CENLAB-S,45,-1,Labwork based on CSE 210,4406-MR Mohammad Rejwan Uddin,08:00,09:30,S
SETS,CSE210L,"CSE210L,CEN210L",3,1,40,34,CENLAB-S,45,-1,Labwork based on CSE 210,4374-MR Wahidul Hasan,11:00,12:30,M
SETS,CSE211,"CSE211,CSC306,CEN306,MAT306",1,3,30,0,CSCLab2-S,30,B-0,Algorithms,T001-00 TBA TBA,08:00,09:30,ST
SETS,CSE211,"CSE211,CSC306,CEN306,MAT306",2,3,43,40,CSCLab3-S,35,0,Algorithms,4448-DR Farzana Rahman,11:00,12:30,ST
SETS,CSE211,"CSE211,CSC306,CEN306,MAT306",3,3,35,35,CSCLab2-S,30,-1,Algorithms,4408-MR Asif Bin Khaled,09:30,11:00,MW
SETS,CSE211,"CSE211,CSC306,CEN306,MAT306",4,3,35,31,CSCLab2-S,30,-1,Algorithms,4408-MR Asif Bin Khaled,09:30,11:00,MW
SETS,CSE211,"CSE211,CSC306,CEN306,MAT306",5,3,30,14,GPLab-S,50,0,Algorithms,4448-DR Farzana Rahman,09:30,11:00,MW
SETS,CSE211L,"CSE211L,MAT306L,CSC306L,CEN306L",1,1,30,0,CSCLab2-S,30,B-0,Labwork based on CSE 211,T001-00 TBA TBA,09:30,11:00,T
SETS,CSE211L,"CSE211L,MAT306L,CSC306L,CEN306L",2,1,43,40,CSCLab4-S,35,0,Labwork based on CSE 211,4448-DR Farzana Rahman,12:30,14:00,T
